flight,line,map,mag,INS,EKF_online,EKF_TLNN,MPF_TL,FGO_win,FGO_win_norobust,EKF_Mag1,N,t_EKF_online,t_EKF_TLNN,t_MPF_TL,t_FGO_win
Flt1003,1003.02,Eastern_395,Mag 4,124.0,41626.4,99.1,Inf,42.6,66.3,21.5,37841,5.017,37.965,26.891,65.581
Flt1003,1003.02,Eastern_395,Mag 5,124.0,28.1,29.5,Inf,21.7,20.9,21.5,37841,5.012,14.759,32.794,53.578
Flt1003,1003.08,Renfrew_395,Mag 4,272.3,NaN,46.6,Inf,26.1,25.5,17.7,43431,NaN,17.058,8.025,69.943
Flt1003,1003.08,Renfrew_395,Mag 5,272.3,21.1,20.7,Inf,12.4,12.5,17.7,43431,5.365,16.744,23.045,65.225
Flt1006,1006.08,Eastern_395,Mag 4,198.0,17179.0,952.0,Inf,193.9,869.9,22.3,8391,1.689,3.133,8.753,13.014
Flt1006,1006.08,Eastern_395,Mag 5,198.0,117.5,108.3,793.7,122.0,121.8,22.3,8391,1.654,3.185,17.517,13.504
Flt1007,1007.02,Eastern_395,Mag 4,120.9,35482.3,130.0,Inf,38.6,39.8,25.6,38561,4.96,15.299,59.823,62.301
Flt1007,1007.02,Eastern_395,Mag 5,120.9,31.6,30.4,Inf,14.5,14.5,25.6,38561,5.037,15.419,32.271,50.021
Flt1007,1007.06,Renfrew_395,Mag 4,318.0,46.7,48.9,Inf,32.7,37.7,20.0,52401,6.465,20.323,15.344,78.875
Flt1007,1007.06,Renfrew_395,Mag 5,318.0,17.8,18.3,Inf,13.8,14.3,20.0,52401,6.55,20.466,16.473,74.874
